PassengerId,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,not_alone
892,1,0,0,0,1,0,30,3,1
893,3,0,0,0,1,0,7.8958,6,1
894,3,0,0,0,1,0,7.25,6,1
895,3,1,0,0,3,0,7.7333,4,1
896,3,0,0,0,1,0,7.25,6,1
897,3,0,3,1,1,4,4.215,1,0
898,3,1,1,1,1,2,7.666666667,6,0
899,1,0,0,0,1,0,5,4,1
900,3,0,0,0,3,0,7.75,6,1
901,1,0,0,0,1,0,50.4958,4,1
902,3,1,0,0,1,0,7.925,5,1
903,3,0,1,0,1,1,3.8875,6,0
904,3,1,2,1,1,3,6.75,4,0
905,1,0,0,0,1,0,26.2875,4,1
906,1,1,0,1,2,1,30.9896,6,0
907,3,1,2,1,2,3,4.814575,5,0
908,1,1,3,2,1,5,43.83333333,1,0
909,1,0,0,0,2,0,31,3,1
910,1,0,0,0,1,0,0,6,1
911,3,1,1,0,1,1,6.95,6,0
912,3,0,0,0,1,0,7.8958,5,1
913,3,0,1,0,1,1,3.9625,5,0
914,2,1,1,1,1,2,9.666666667,1,0
915,3,1,0,0,1,0,8.05,5,1
916,3,0,0,0,1,0,8.05,5,1
917,1,0,1,0,2,1,28.875,6,0
918,3,0,0,0,2,0,7.8958,5,1
919,3,0,0,0,1,0,7.775,6,1
920,1,1,1,0,2,1,44.5521,5,0
921,3,0,0,0,2,0,7.2292,6,1
922,3,0,1,1,2,2,2.409733333,6,0
923,1,0,0,0,2,0,135.6333,4,1
924,3,1,0,0,3,0,7.75,4,1
925,3,0,0,2,1,2,4.8,5,0
926,2,0,0,0,1,0,26,5,1
927,3,0,0,0,1,0,7.25,4,1
928,3,1,0,0,1,0,7.775,6,1
929,2,0,1,0,1,1,10.5,5,0
930,1,0,1,0,1,1,45,6,0
931,3,0,0,0,1,0,7.8958,7,1
932,2,1,1,0,1,1,13,2,0
933,3,1,0,0,2,0,7.2292,5,1
934,3,0,0,0,2,0,8.6625,5,1
935,2,0,0,0,1,0,31.5,4,1
936,3,0,1,1,1,2,6.7375,5,0
937,3,0,0,0,3,0,6.95,7,1
938,3,0,0,1,2,1,6.70835,6,0
939,1,1,1,0,2,1,28.875,6,0
940,3,1,1,0,1,1,8.05,5,0
941,1,0,0,0,1,0,32.3208,1,1
942,1,1,1,0,1,1,27.95,4,0
943,2,0,0,0,3,0,12.35,6,1
944,1,1,0,0,2,0,49.5042,6,1
945,1,1,0,0,1,0,80,4,1
946,2,0,2,0,1,2,10.5,3,0
947,3,1,0,0,1,0,12.475,2,1
948,1,1,1,1,1,2,31.16666667,6,0
949,2,0,0,0,1,0,13,6,1
950,2,1,0,0,1,0,13,6,1
951,1,0,1,3,2,4,52.475,6,0
952,1,0,1,1,2,2,44.83333333,5,0
953,2,0,1,0,1,1,13,3,0
954,3,1,0,0,1,0,8.6625,1,1
955,3,0,0,0,1,0,8.05,5,1
956,2,1,1,0,2,1,15.0354,5,0
957,1,0,0,0,1,0,26.55,6,1
958,3,0,1,0,1,1,7.25,5,0
959,3,1,0,0,2,0,7.2292,5,1
960,3,0,0,0,1,0,9.225,4,1
961,3,0,0,0,2,0,7.225,3,1
962,3,1,2,1,2,3,4.814575,5,0
963,1,1,0,0,2,0,27.4458,5,1
964,2,1,0,2,1,2,12.25,6,0
