PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name_Letter
1,0,3,0,30,1,0,15.5,3,12
2,0,1,0,54,0,1,77.2875,1,23
3,0,2,0,36,0,0,13,1,6
4,0,3,0,20,0,0,9.5,1,8
5,0,2,0,57,0,0,13,1,1
6,1,2,1,0.92,1,2,27.75,1,23
7,0,3,0,30,8,2,69.55,1,19
8,0,3,0,30,8,2,69.55,1,19
9,1,3,1,47,1,0,7,1,23
10,1,1,1,24,3,2,263,1,6
11,0,3,0,28,1,0,15.85,1,8
12,0,3,0,30,1,0,6.4375,2,20
13,0,3,0,22,0,0,7.7958,1,10
14,1,3,1,24,0,3,19.2583,2,2
15,0,2,0,57,0,0,12.35,3,11
16,0,1,0,30,0,0,39.6,2,2
17,1,3,1,0.17,1,2,20.575,1,4
18,1,1,1,18,2,2,262.375,2,18
19,0,3,0,39,0,0,24.15,1,12
20,1,1,0,45,0,0,29.7,2,3
21,1,3,0,31,0,0,7.925,1,19
22,1,3,0,32,0,0,56.4958,1,3
23,0,3,0,1,5,2,46.9,1,7
24,1,3,1,31,0,2,164.8667,1,23
25,1,3,0,32,0,0,56.4958,1,2
26,1,1,1,38,1,0,71.2833,2,3
27,0,2,0,28,0,0,13.5,1,14
28,1,3,0,36.5,1,0,17.4,1,4
29,1,2,1,32.5,0,0,13,1,23
30,0,3,0,30,0,0,6.4375,2,20
31,0,1,0,42,1,0,52,1,8
32,0,3,1,30,1,9,69.55,1,19
33,0,2,0,21,0,0,13,1,5
34,0,2,0,26,0,0,13,1,19
35,0,3,0,34.5,0,0,7.8292,3,11
36,0,1,0,24,0,0,79.2,2,7
37,0,1,0,56,0,0,30.6958,2,19
38,1,2,1,29,1,0,26,1,6
39,1,1,0,42,0,0,26.2875,1,3
40,1,1,1,76,1,0,78.85,1,3
41,0,3,0,6,1,1,15.2458,2,2
42,0,3,0,33,1,1,20.525,1,7
43,1,1,0,28,0,0,26.55,1,2
44,0,3,1,21,0,0,7.75,3,3
45,1,1,1,27,1,1,247.5208,2,4
46,0,1,0,67,1,0,221.7792,1,19
47,1,1,1,60,1,0,75.25,2,23
48,1,3,1,45,0,0,7.225,2,1
49,1,2,1,25,1,1,30,1,3
50,0,3,0,2,3,1,21.075,1,16
51,1,1,1,22,0,1,55,1,2
52,0,2,0,51,0,0,12.525,1,2
53,1,1,1,39,0,0,211.3375,1,11
54,0,3,0,20,0,0,7.925,1,1
55,1,2,1,18,0,2,13,1,19
56,1,2,1,6,0,1,33,1,8
57,0,1,0,47,0,0,34.0208,1,23
58,0,1,0,30,0,0,25.925,1,2
59,0,3,1,38,4,2,7.775,1,1
60,0,2,0,39,0,0,26,1,13
61,0,3,0,30,0,0,7.225,2,1
62,1,3,0,30,1,1,15.2458,2,13
63,1,2,0,0.67,1,1,14.5,1,8
64,1,3,0,32,0,0,7.925,1,10
65,0,1,0,29,1,0,66.6,1,16
66,1,1,1,48,1,0,106.425,2,4
67,1,2,0,34,0,0,13,1,2
68,1,1,1,33,0,0,27.7208,2,18
69,1,1,0,30,0,0,26,1,19
70,0,3,0,18,1,1,7.8542,1,11
71,0,3,0,35,0,0,8.05,1,1
72,0,3,0,30,0,0,7.8958,1,19
73,1,1,0,30,0,0,29.7,2,13
74,0,2,0,30,0,0,0,1,23
75,0,3,1,30,1,0,14.4542,2,11
76,0,3,0,36,0,0,0,1,12
77,1,1,0,27,1,0,53.1,1,3
78,0,1,1,36,0,0,31.6792,2,5
79,0,3,0,21,0,0,7.925,1,16
80,0,3,0,30,0,0,7.75,3,19
81,1,3,1,30,1,0,15.5,3,13
82,0,3,0,25,1,0,7.775,1,16
83,1,1,1,55,0,0,27.7208,2,12
84,0,2,0,32,0,0,13.5,1,13
85,1,2,0,30,0,0,12.7375,2,16
86,0,3,0,30,0,0,8.05,1,13
87,0,3,0,40,1,0,26,1,6
88,0,3,1,9,4,2,31.275,1,1
89,1,2,1,32,0,0,13,1,16
90,0,1,0,65,0,1,61.9792,2,15
91,1,1,1,33,1,0,90,3,13
92,0,3,1,30,0,0,7.6292,3,3
