PassengerId,Survived,Pclass,Sex,Embarked,AgeGroup,SibSp,Parch,FareBand,relatives,not_alone
1,0,3,0,3,5,1,0,3,1,0
2,0,1,0,1,6,0,1,4,1,0
3,0,2,0,1,6,0,0,2,0,1
4,0,3,0,1,4,0,0,2,0,1
5,0,2,0,1,6,0,0,2,0,1
6,1,2,1,1,1,1,2,3,3,0
7,0,3,0,1,5,8,2,4,10,0
8,0,3,0,1,5,8,2,4,10,0
9,1,3,1,1,6,1,0,1,1,0
10,1,1,1,1,4,3,2,4,5,0
11,0,3,0,1,5,1,0,3,1,0
12,0,3,0,2,5,1,0,1,1,0
13,0,3,0,1,4,0,0,1,0,1
14,1,3,1,2,4,0,3,3,3,0
15,0,2,0,3,6,0,0,2,0,1
16,0,1,0,2,5,0,0,4,0,1
17,1,3,1,1,1,1,2,3,3,0
18,1,1,1,2,3,2,2,4,4,0
19,0,3,0,1,6,0,0,3,0,1
20,1,1,0,2,6,0,0,3,0,1
21,1,3,0,1,5,0,0,2,0,1
22,1,3,0,1,5,0,0,4,0,1
23,0,3,0,1,1,5,2,4,7,0
24,1,3,1,1,5,0,2,4,2,0
25,1,3,0,1,5,0,0,4,0,1
26,1,1,1,2,6,1,0,4,1,0
27,0,2,0,1,5,0,0,2,0,1
28,1,3,0,1,6,1,0,3,1,0
29,1,2,1,1,5,0,0,2,0,1
30,0,3,0,2,4,0,0,1,0,1
31,0,1,0,1,6,1,0,4,1,0
32,0,3,1,1,5,1,9,4,10,0
33,0,2,0,1,4,0,0,2,0,1
34,0,2,0,1,5,0,0,2,0,1
35,0,3,0,3,5,0,0,1,0,1
36,0,1,0,2,4,0,0,4,0,1
37,0,1,0,2,6,0,0,3,0,1
38,1,2,1,1,5,1,0,3,1,0
39,1,1,0,1,6,0,0,3,0,1
40,1,1,1,1,7,1,0,4,1,0
41,0,3,0,2,2,1,1,3,2,0
42,0,3,0,1,5,1,1,3,2,0
43,1,1,0,1,5,0,0,3,0,1
44,0,3,1,3,4,0,0,1,0,1
45,1,1,1,2,5,1,1,4,2,0
46,0,1,0,1,7,1,0,4,1,0
47,1,1,1,2,6,1,0,4,1,0
48,1,3,1,2,6,0,0,1,0,1
49,1,2,1,1,5,1,1,3,2,0
