PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,not_alone
1,0,3,0,1,0,3,1,7.75,3,0
2,0,1,0,0,1,1,1,38.64375,6,0
3,0,2,0,0,0,1,0,13,6,1
4,0,3,0,0,0,1,0,9.5,4,1
5,0,2,0,0,0,1,0,13,6,1
6,1,3,1,1,2,1,3,6.9375,1,0
7,0,3,0,8,2,1,10,6.322727273,6,0
8,0,3,0,8,2,1,10,6.322727273,4,0
9,1,3,1,1,0,1,1,3.5,6,0
10,1,1,1,3,2,1,5,43.83333333,4,0
11,0,3,0,1,0,1,1,7.925,5,0
12,0,3,0,1,0,2,1,3.21875,6,0
13,0,3,0,0,0,1,0,7.7958,4,1
14,1,3,1,0,3,2,3,4.814575,4,0
15,0,2,0,0,0,3,0,12.35,6,1
16,0,1,0,0,0,2,0,39.6,5,1
17,1,3,1,1,2,1,3,5.14375,1,0
18,1,1,1,2,2,2,4,52.475,3,0
19,0,1,0,0,0,1,0,24.15,6,1
20,1,1,0,0,0,2,0,29.7,6,1
21,1,3,0,0,0,1,0,7.925,5,1
22,1,3,0,0,0,1,0,56.4958,5,1
23,0,3,0,5,2,1,7,5.8625,1,0
24,1,1,1,0,2,1,2,54.95556667,5,0
25,1,3,0,0,0,1,0,56.4958,5,1
26,1,1,1,1,0,2,1,35.64165,6,0
27,0,2,0,0,0,1,0,13.5,5,1
28,1,3,0,1,0,1,1,8.7,6,0
29,1,2,1,0,0,1,0,13,5,1
30,0,3,0,0,0,2,0,6.4375,6,1
31,0,1,0,1,0,1,1,26,6,0
32,0,3,1,1,9,1,10,6.322727273,4,0
33,0,2,0,0,0,1,0,13,4,1
34,0,2,0,0,0,1,0,13,5,1
35,0,3,0,0,0,3,0,7.8292,5,1
36,0,1,0,0,0,2,0,79.2,4,1
37,0,1,0,0,0,2,0,30.6958,6,1
38,1,2,1,1,0,1,1,13,5,0
39,1,1,0,0,0,1,0,26.2875,6,1
40,1,1,1,1,0,1,1,39.425,7,0
41,0,3,0,1,1,2,2,5.081933333,2,0
42,0,3,0,1,1,1,2,6.841666667,5,0
43,1,1,0,0,0,1,0,26.55,5,1
44,0,3,1,0,0,3,0,7.75,4,1
45,1,1,1,1,1,2,2,82.50693333,5,0
46,0,1,0,1,0,1,1,110.8896,7,0
47,1,1,1,1,0,2,1,37.625,6,0
48,1,3,1,0,0,2,0,7.225,6,1
49,1,3,1,1,1,1,2,10,5,0
50,0,3,0,3,1,1,4,4.215,1,0
51,1,1,1,0,1,1,1,27.5,4,0
52,0,2,0,0,0,1,0,12.525,6,1
53,1,1,1,0,0,1,0,211.3375,6,1
54,0,3,0,0,0,1,0,7.925,4,1
55,1,2,1,0,2,1,2,4.333333333,3,0
56,1,2,1,0,1,1,1,16.5,2,0
57,0,1,0,0,0,1,0,34.0208,6,1
58,0,1,0,0,0,1,0,25.925,6,1
59,0,3,1,4,2,1,6,1.110714286,6,0
60,0,2,0,0,0,1,0,26,6,1
61,0,3,0,0,0,2,0,7.225,5,1
62,1,3,0,1,1,2,2,5.081933333,3,0
