Survived,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,Name_Letter,not_alone
0,3.0,0,1,0,3,1,7.75,4,12,0
0,1.0,0,0,1,1,1,38.64375,6,23,0
0,2.0,0,0,0,1,0,13.0,6,6,1
0,3.0,0,0,0,1,0,9.5,4,8,1
0,2.0,0,0,0,1,0,13.0,6,1,1
1,3.0,1,1,2,1,3,6.9375,1,23,0
0,3.0,0,8,2,1,10,6.322727272727272,5,19,0
0,3.0,0,8,2,1,10,6.322727272727272,5,19,0
1,3.0,1,1,0,1,1,3.5,6,23,0
1,1.0,1,3,2,1,5,43.833333333333336,4,6,0
0,3.0,0,1,0,1,1,7.925,5,8,0
0,3.0,0,1,0,2,1,3.21875,5,20,0
0,3.0,0,0,0,1,0,7.7958,4,10,1
1,3.0,1,0,3,2,3,4.814575,4,2,0
0,2.0,0,0,0,3,0,12.35,6,11,1
0,1.0,0,0,0,2,0,39.6,5,2,1
1,3.0,1,1,2,1,3,5.14375,1,4,0
1,1.0,1,2,2,2,4,52.475,3,18,0
0,1.0,0,0,0,1,0,24.15,6,12,1
1,1.0,0,0,0,2,0,29.7,6,3,1
1,3.0,0,0,0,1,0,7.925,5,19,1
1,3.0,0,0,0,1,0,56.4958,5,3,1
0,3.0,0,5,2,1,7,5.8625,1,7,0
1,1.0,1,0,2,1,2,54.95556666666667,5,23,0
1,3.0,0,0,0,1,0,56.4958,5,2,1
1,1.0,1,1,0,2,1,35.64165,6,3,0
0,2.0,0,0,0,1,0,13.5,5,14,1
1,3.0,0,1,0,1,1,8.7,6,4,0
1,2.0,1,0,0,1,0,13.0,5,23,1
0,3.0,0,0,0,2,0,6.4375,6,20,1
0,1.0,0,1,0,1,1,26.0,6,8,0
0,3.0,1,1,9,1,10,6.322727272727272,4,19,0
0,2.0,0,0,0,1,0,13.0,4,5,1
0,2.0,0,0,0,1,0,13.0,5,19,1
0,3.0,0,0,0,3,0,7.8292,5,11,1
0,1.0,0,0,0,2,0,79.2,4,7,1
0,1.0,0,0,0,2,0,30.6958,6,19,1
1,2.0,1,1,0,1,1,13.0,5,6,0
1,1.0,0,0,0,1,0,26.2875,6,3,1
1,1.0,1,1,0,1,1,39.425,7,3,0
0,3.0,0,1,1,2,2,5.081933333333333,2,2,0
0,3.0,0,1,1,1,2,6.841666666666666,5,7,0
1,1.0,0,0,0,1,0,26.55,5,2,1
0,3.0,1,0,0,3,0,7.75,4,3,1
1,1.0,1,1,1,2,2,82.50693333333334,5,4,0
0,1.0,0,1,0,1,1,110.8896,7,19,0
1,1.0,1,1,0,2,1,37.625,6,23,0
1,3.0,1,0,0,2,0,7.225,6,1,1
1,3.0,1,1,1,1,2,10.0,5,3,0
0,3.0,0,3,1,1,4,4.215,1,16,0
1,1.0,1,0,1,1,1,27.5,4,2,0
0,2.0,0,0,0,1,0,12.525,6,2,1
1,1.0,1,0,0,1,0,211.3375,6,11,1
0,3.0,0,0,0,1,0,7.925,4,1,1
1,2.0,1,0,2,1,2,4.333333333333333,3,19,0
1,2.0,1,0,1,1,1,16.5,2,8,0
0,1.0,0,0,0,1,0,34.0208,6,23,1
0,1.0,0,0,0,1,0,25.925,5,2,1
0,3.0,1,4,2,1,6,1.1107142857142858,6,1,0
0,2.0,0,0,0,1,0,26.0,6,13,1
0,3.0,0,0,0,2,0,7.225,5,1,1
1,3.0,0,1,1,2,2,5.081933333333333,5,13,0
1,2.0,0,1,1,1,2,4.833333333333333,1,8,0
1,3.0,0,0,0,1,0,7.925,5,10,1
0,1.0,0,1,0,1,1,33.3,5,16,0
1,1.0,1,1,0,2,1,53.2125,6,4,0
1,2.0,0,0,0,1,0,13.0,5,2,1
1,1.0,1,0,0,2,0,27.7208,5,18,1
1,1.0,0,0,0,1,0,26.0,6,19,1
0,3.0,0,1,1,1,2,2.6180666666666665,3,11,0
